"Major area, region, country or area of destination",Notes,Country code,Total population of both sexes at mid-year (thousands),,,,,,Total male population at mid-year (thousands),,,,,,Total female population at mid-year (thousands),,,,,
,,,1990,1995,2000,2005,2010,2015,1990,1995,2000,2005,2010,2015,1990,1995,2000,2005,2010,2015
WORLD,,900, 5 309 668, 5 735 123, 6 126 622, 6 519 636, 6 929 725, 7 349 472, 2 670 424, 2 886 636, 3 084 538, 3 285 082, 3 493 957, 3 707 206, 2 639 244, 2 848 487, 3 042 084, 3 234 554, 3 435 768, 3 642 266
Developed regions,(b),901, 1 144 463, 1 169 761, 1 188 812, 1 208 920, 1 233 376, 1 251 351,  555 256,  568 268,  578 010,  587 962,  599 955,  609 297,  589 207,  601 493,  610 802,  620 957,  633 420,  642 054
Developing regions,(c),902, 4 165 205, 4 565 362, 4 937 810, 5 310 716, 5 696 349, 6 098 121, 2 115 168, 2 318 367, 2 506 527, 2 697 120, 2 894 001, 3 097 909, 2 050 037, 2 246 994, 2 431 283, 2 613 596, 2 802 348, 3 000 212
Least developed countries,(d),941,  510 058,  585 189,  664 386,  752 805,  847 255,  954 158,  254 043,  292 027,  331 482,  375 758,  422 398,  476 031,  256 015,  293 163,  332 904,  377 047,  424 857,  478 127
Less developed regions excluding least developed countries,,934, 3 655 147, 3 980 173, 4 273 424, 4 557 911, 4 849 094, 5 143 963, 1 861 126, 2 026 341, 2 175 045, 2 321 362, 2 471 604, 2 621 877, 1 794 021, 1 953 832, 2 098 379, 2 236 549, 2 377 491, 2 522 086
Sub-Saharan Africa,(e),947,  491 498,  562 978,  642 172,  733 322,  840 390,  962 287,  244 591,  280 184,  319 999,  365 726,  419 507,  481 052,  246 907,  282 794,  322 174,  367 595,  420 883,  481 234
Africa,,903,  631 614,  720 416,  814 063,  920 239, 1 044 107, 1 186 178,  315 071,  359 409,  406 406,  459 591,  521 740,  593 455,  316 543,  361 008,  407 658,  460 648,  522 367,  592 724
Eastern Africa,,910,  198 232,  225 310,  259 373,  297 636,  342 743,  394 477,  98 209,  111 579,  128 612,  147 724,  170 257,  196 135,  100 023,  113 730,  130 760,  149 912,  172 485,  198 343
Burundi,,108,  5 613,  6 239,  6 767,  7 934,  9 461,  11 179,  2 755,  3 054,  3 336,  3 920,  4 667,  5 524,  2 858,  3 185,  3 431,  4 014,  4 794,  5 655
